TIMESTAMP, VALUE
2019-01-28T00:00:00Z, 0.000
2019-01-28T00:01:00Z, 0.001
2019-01-28T00:02:00Z, 0.002
2019-01-28T00:03:00Z, 0.003
2019-01-28T00:04:00Z, 0.004
2019-01-28T00:05:00Z, 0.005
2019-01-28T00:06:00Z, 0.006
2019-01-28T00:07:00Z, 0.007
2019-01-28T00:08:00Z, 0.008
2019-01-28T00:09:00Z, 0.009
2019-01-28T00:10:00Z, 0.010
2019-01-28T00:11:00Z, 0.011
2019-01-28T00:12:00Z, 0.012
2019-01-28T00:13:00Z, 0.013
2019-01-28T00:14:00Z, 0.014
2019-01-28T00:15:00Z, 0.015
2019-01-28T00:16:00Z, 0.016
2019-01-28T00:17:00Z, 0.017
2019-01-28T00:18:00Z, 0.018
2019-01-28T00:19:00Z, 0.019
2019-01-28T00:20:00Z, 0.020
2019-01-28T00:21:00Z, 0.021
2019-01-28T00:22:00Z, 0.022
2019-01-28T00:23:00Z, 0.023
2019-01-28T00:24:00Z, 0.024
2019-01-28T00:25:00Z, 0.025
2019-01-28T00:26:00Z, 0.026
2019-01-28T00:27:00Z, 0.027
2019-01-28T00:28:00Z, 0.028
2019-01-28T00:29:00Z, 0.029
2019-01-28T00:30:00Z, 0.030
2019-01-28T00:31:00Z, 0.031
2019-01-28T00:32:00Z, 0.032
2019-01-28T00:33:00Z, 0.033
2019-01-28T00:34:00Z, 0.034
2019-01-28T00:35:00Z, 0.035
2019-01-28T00:36:00Z, 0.036
2019-01-28T00:37:00Z, 0.037
2019-01-28T00:38:00Z, 0.038
2019-01-28T00:39:00Z, 0.039
2019-01-28T00:40:00Z, 0.040
2019-01-28T00:41:00Z, 0.041
2019-01-28T00:42:00Z, 0.042
2019-01-28T00:43:00Z, 0.043
2019-01-28T00:44:00Z, 0.044
2019-01-28T00:45:00Z, 0.045
2019-01-28T00:46:00Z, 0.046
2019-01-28T00:47:00Z, 0.047
2019-01-28T00:48:00Z, 0.048
2019-01-28T00:49:00Z, 0.049
2019-01-28T00:50:00Z, 0.050
2019-01-28T00:51:00Z, 0.051
2019-01-28T00:52:00Z, 0.052
2019-01-28T00:53:00Z, 0.053
2019-01-28T00:54:00Z, 0.054
2019-01-28T00:55:00Z, 0.055
2019-01-28T00:56:00Z, 0.056
2019-01-28T00:57:00Z, 0.057
2019-01-28T00:58:00Z, 0.058
