TIMESTAMP, VALUE
2019-01-28T00:00:00Z, 0.0
2019-01-28T01:00:00Z, 0.1
2019-01-28T02:00:00Z, 0.2
2019-01-28T03:00:00Z, 0.3
2019-01-28T04:00:00Z, 0.4
2019-01-28T05:00:00Z, 0.5
2019-01-28T06:00:00Z, 0.6
2019-01-28T07:00:00Z, 0.7
2019-01-28T08:00:00Z, 0.8
2019-01-28T09:00:00Z, 0.9
2019-01-28T10:00:00Z, 1.0
2019-01-28T11:00:00Z, 1.1
2019-01-28T12:00:00Z, 1.2
2019-01-28T13:00:00Z, 1.3
2019-01-28T14:00:00Z, 1.4
2019-01-28T15:00:00Z, 1.5
2019-01-28T16:00:00Z, 1.6
2019-01-28T17:00:00Z, 1.7
2019-01-28T18:00:00Z, 1.8
2019-01-28T19:00:00Z, 1.9
2019-01-28T20:00:00Z, 2.0
2019-01-28T21:00:00Z, 2.1
2019-01-28T22:00:00Z, 2.2
2019-01-28T23:00:00Z, 2.3
