TIMESTAMP, VALUE
2017-09-15T00:00:00Z, 0.0
2017-09-15T01:00:00Z, 0.1
2017-09-15T02:00:00Z, 0.2
2017-09-15T03:00:00Z, 0.3
2017-09-15T04:00:00Z, 0.4
2017-09-15T05:00:00Z, 0.5
2017-09-15T06:00:00Z, 0.6
2017-09-15T07:00:00Z, 0.7
2017-09-15T08:00:00Z, 0.8
2017-09-15T09:00:00Z, 0.9
2017-09-15T10:00:00Z, 1.0
2017-09-15T11:00:00Z, 1.1
2017-09-15T12:00:00Z, 1.2
2017-09-15T13:00:00Z, 1.3
2017-09-15T14:00:00Z, 1.4
2017-09-15T15:00:00Z, 1.5
2017-09-15T16:00:00Z, 1.6
2017-09-15T17:00:00Z, 1.7
2017-09-15T18:00:00Z, 1.8
2017-09-15T19:00:00Z, 1.9
2017-09-15T20:00:00Z, 2.0
2017-09-15T21:00:00Z, 2.1
2017-09-15T22:00:00Z, 2.2
2017-09-15T23:00:00Z, 2.3
